iter	Accuracy	Logloss
308	0.9642857143	0.06434502794
309	0.9642857143	0.06429156869
310	0.9642857143	0.0642237364
311	0.9642857143	0.06417082165
312	0.9642857143	0.06411860444
313	0.9642857143	0.06403153092
314	0.9642857143	0.06397984155
315	0.9642857143	0.063928861
316	0.9642857143	0.06387795905
317	0.9642857143	0.06382748284
318	0.9642857143	0.06377763283
319	0.9642857143	0.06369441839
320	0.9642857143	0.063645052
321	0.9642857143	0.06359635643
322	0.9642857143	0.06354775718
323	0.9642857143	0.06349955655
324	0.9642857143	0.06345191894
325	0.9642857143	0.06339122539
326	0.9642857143	0.0633440413
327	0.9642857143	0.06329745318
328	0.9642857143	0.06321945557
329	0.9642857143	0.06317329274
330	0.9642857143	0.0631277455
331	0.9642857143	0.0630822624
332	0.9642857143	0.06303714286
333	0.9642857143	0.0629925534
334	0.9642857143	0.06293568333
335	0.9642857143	0.06289148624
336	0.9642857143	0.06284784787
337	0.9642857143	0.06277461278
338	0.9642857143	0.06273134934
339	0.9642857143	0.06268865291
340	0.9642857143	0.06264600164
341	0.9642857143	0.06260368276
342	0.9642857143	0.06256185673
343	0.9642857143	0.06250846762
344	0.9642857143	0.06246698806
345	0.9642857143	0.06242602708
346	0.9642857143	0.06235714735
347	0.9642857143	0.06231651764
348	0.9642857143	0.06227641193
349	0.9642857143	0.06223634091
350	0.9642857143	0.06219657452
351	0.9642857143	0.06215726251
352	0.9642857143	0.06210705057
353	0.9642857143	0.06206804984
354	0.9642857143	0.06202952722
355	0.9642857143	0.06196463785
356	0.9642857143	0.06192640849
357	0.9642857143	0.06188866481
358	0.9642857143	0.06185095077
359	0.9642857143	0.06181351659
360	0.9642857143	0.06177649894
361	0.9642857143	0.06172919396
362	0.9642857143	0.06169245998
363	0.9642857143	0.0616561648
364	0.9642857143	0.06159493835
365	0.9642857143	0.06155890321
366	0.9642857143	0.06152331946
367	0.9642857143	0.06148776371
368	0.9642857143	0.06145246564
369	0.9642857143	0.0614175479
370	0.9642857143	0.06137290889
371	0.9642857143	0.06133825266
372	0.9642857143	0.06130399799
373	0.9642857143	0.06126094666
374	0.9642857143	0.06122705476
375	0.9642857143	0.06119324665
376	0.9642857143	0.06115986908
377	0.9642857143	0.0611170168
378	0.9642857143	0.06108381283
379	0.9642857143	0.0610508422
380	0.9642857143	0.06101818546
381	0.9642857143	0.06098554628
382	0.9642857143	0.06095313599
383	0.9642857143	0.06092106315
384	0.9642857143	0.06088897537
385	0.9642857143	0.06085711209
386	0.9642857143	0.06082560367
387	0.9642857143	0.06079405429
388	0.9642857143	0.06076272505
389	0.9642857143	0.06073176281
390	0.9642857143	0.06069177591
391	0.9642857143	0.06066098794
392	0.9642857143	0.06063057473
393	0.9642857143	0.06057856812
394	0.9642857143	0.06054833326
395	0.9642857143	0.06051845749
396	0.9642857143	0.06048858247
397	0.9642857143	0.06045891069
398	0.9642857143	0.0604295428
399	0.9642857143	0.06040015177
400	0.9642857143	0.06037096023
401	0.9642857143	0.06034208422
402	0.9642857143	0.06031316627
403	0.9642857143	0.06028444406
404	0.9642857143	0.0602560449
405	0.9642857143	0.06022758935
406	0.9642857143	0.06019932586
407	0.9642857143	0.06017138937
408	0.9642857143	0.06013503482
409	0.9642857143	0.06010723806
410	0.9642857143	0.06007977067
411	0.9642857143	0.06004408799
412	0.9642857143	0.06001674658
413	0.9642857143	0.05998973566
414	0.9642857143	0.05994318352
415	0.9642857143	0.05991630917
416	0.9642857143	0.0598897431
417	0.9642857143	0.05986317089
418	0.9642857143	0.05983696255
419	0.9642857143	0.05979166233
420	0.9642857143	0.05976558083
421	0.9642857143	0.05973979531
422	0.9642857143	0.05971396175
423	0.9642857143	0.05968829585
424	0.9642857143	0.05966291304
425	0.9642857143	0.05963747082
426	0.9642857143	0.05961219328
427	0.9642857143	0.05958720178
428	0.9642857143	0.05956214259
429	0.9642857143	0.05953724515
430	0.9642857143	0.05951263417
431	0.9642857143	0.05948047969
432	0.9642857143	0.05945597003
433	0.9642857143	0.05943174663
434	0.9642857143	0.05940015365
435	0.9642857143	0.05937602281
436	0.9642857143	0.05935217729
437	0.9642857143	0.0593211314
438	0.9642857143	0.05929737066
439	0.9642857143	0.0592738937
440	0.9642857143	0.05923322749
441	0.9642857143	0.05920984833
442	0.9642857143	0.05918672819
443	0.9642857143	0.0591635941
444	0.9642857143	0.05914076827
445	0.9642857143	0.05910113335
446	0.9642857143	0.05907839827
447	0.9642857143	0.0590559127
448	0.9642857143	0.05903338189
449	0.9642857143	0.05901117846
450	0.9642857143	0.05897254186
451	0.9642857143	0.05895042263
452	0.9642857143	0.05892854407
453	0.9642857143	0.05890659416
454	0.9642857143	0.05888477883
455	0.9642857143	0.05886321389
456	0.9642857143	0.05884157194
457	0.9642857143	0.05882006234
458	0.9642857143	0.05879880291
459	0.9642857143	0.0587710033
460	0.9642857143	0.0587498062
461	0.9642857143	0.0587288582
462	0.9642857143	0.05870151182
463	0.9642857143	0.05868062044
464	0.9642857143	0.05865997665
465	0.9642857143	0.05863307261
466	0.9642857143	0.05861248038
467	0.9642857143	0.05859213381
468	0.9642857143	0.05855678722
469	0.9642857143	0.05853650805
470	0.9642857143	0.05851644681
471	0.9642857143	0.05849636199
472	0.9642857143	0.05847654303
473	0.9642857143	0.0584420353
474	0.9642857143	0.05842227865
475	0.9642857143	0.05840273245
476	0.9642857143	0.05838313742
477	0.9642857143	0.05836365715
478	0.9642857143	0.05834437753
479	0.9642857143	0.05832504232
480	0.9642857143	0.05830582014
481	0.9642857143	0.05828680037
482	0.9642857143	0.05826772021
483	0.9642857143	0.05824892282
484	0.9642857143	0.05822424936
485	0.9642857143	0.05820543308
486	0.9642857143	0.05818689042
487	0.9642857143	0.05815442527
488	0.9642857143	0.05813593357
489	0.9642857143	0.05811763458
490	0.9642857143	0.05809926501
491	0.9642857143	0.05808100122
492	0.9642857143	0.05806294142
493	0.9642857143	0.05804480867
494	0.9642857143	0.05802678011
495	0.9642857143	0.05800895389
496	0.9642857143	0.05799105368
497	0.9642857143	0.05797325607
498	0.9642857143	0.05795565807
499	0.9642857143	0.05793798619
500	0.9642857143	0.05792058605
501	0.9642857143	0.0578976236
502	0.9642857143	0.05788018854
503	0.9642857143	0.05786301378
504	0.9642857143	0.05783278
505	0.9642857143	0.05781564494
506	0.9642857143	0.05779868464
507	0.9642857143	0.05778165028
508	0.9642857143	0.05776471189
509	0.9642857143	0.05774796322
510	0.9642857143	0.05773114108
511	0.9642857143	0.05771457711
512	0.9642857143	0.05769269639
513	0.9642857143	0.05767609459
514	0.9642857143	0.05765973983
515	0.9642857143	0.05763818046
516	0.9642857143	0.0576217944
517	0.9642857143	0.0576056452
518	0.9642857143	0.05757720144
519	0.9642857143	0.0575610845
520	0.9642857143	0.05754513001
521	0.9642857143	0.05752910949
522	0.9642857143	0.05751332853
523	0.9642857143	0.05749253927
524	0.9642857143	0.05747672331
525	0.9642857143	0.05746113729
526	0.9642857143	0.05743368522
527	0.9642857143	0.05741812754
528	0.9642857143	0.05740272568
529	0.9642857143	0.05738725647
530	0.9642857143	0.05737187126
531	0.9642857143	0.05735665338
532	0.9642857143	0.05734136796
533	0.9642857143	0.05732631249
534	0.9642857143	0.0573064577
535	0.9642857143	0.05729136332
536	0.9642857143	0.05727648927
537	0.9642857143	0.05725025377
538	0.9642857143	0.0572354032
539	0.9642857143	0.05722069989
540	0.9642857143	0.05720592936
541	0.9642857143	0.0571912378
542	0.9642857143	0.05717670593
543	0.9642857143	0.05716210708
544	0.9642857143	0.05714772757
545	0.9642857143	0.05712874676
546	0.9642857143	0.05711432653
547	0.9642857143	0.05710011623
548	0.9642857143	0.05707502114
549	0.9642857143	0.05706083002
550	0.9642857143	0.05704677833
551	0.9642857143	0.05703266095
552	0.9642857143	0.05701861788
553	0.9642857143	0.05700472629
554	0.9642857143	0.05699076946
555	0.9642857143	0.05697702108
556	0.9642857143	0.05695885864
557	0.9642857143	0.05694506902
558	0.9642857143	0.05693147877
559	0.9642857143	0.05691356046
560	0.9642857143	0.05689993481
561	0.9642857143	0.05688650025
562	0.9642857143	0.05686277014
563	0.9642857143	0.05684935022
564	0.9642857143	0.05683606086
565	0.9642857143	0.05682271358
566	0.9642857143	0.05680955966
567	0.9642857143	0.05679222821
568	0.9642857143	0.05677903709
569	0.9642857143	0.05676603152
570	0.9642857143	0.05674306179
571	0.9642857143	0.05673006843
572	0.9642857143	0.05671720084
573	0.9642857143	0.0567042749
574	0.9642857143	0.05669141475
575	0.9642857143	0.05667868816
576	0.9642857143	0.0566659029
577	0.9642857143	0.05665330381
578	0.9642857143	0.05663668782
579	0.9642857143	0.05662404924
580	0.9642857143	0.05661158903
581	0.9642857143	0.05658955582
582	0.9642857143	0.05657710478
583	0.9642857143	0.05656477321
584	0.9642857143	0.05655238371
585	0.9642857143	0.0565400564
586	0.9642857143	0.05652785698
587	0.9642857143	0.05651559964
588	0.9642857143	0.0565035205
589	0.9642857143	0.05648757733
590	0.9642857143	0.05647545788
591	0.9642857143	0.05646350901
592	0.9642857143	0.05644776712
593	0.9642857143	0.05643578304
594	0.9642857143	0.05642396258
595	0.9642857143	0.05640305651
596	0.9642857143	0.05639124203
597	0.9642857143	0.0563795399
598	0.9642857143	0.05636778596
599	0.9642857143	0.05635608984
600	0.9642857143	0.0563445102
601	0.9642857143	0.05633287837
602	0.9642857143	0.05632141097
603	0.9642857143	0.05630629022
604	0.9642857143	0.05629478589
605	0.9642857143	0.05628343906
606	0.9642857143	0.05626334861
607	0.9642857143	0.05625200542
608	0.9642857143	0.05624076921
609	0.9642857143	0.05622948165
610	0.9642857143	0.0562183534
611	0.9642857143	0.05620368989
612	0.9642857143	0.05619252421
613	0.9642857143	0.05618151132
614	0.9642857143	0.05616201663
615	0.9642857143	0.05615100589
616	0.9642857143	0.05614009854
617	0.9642857143	0.05612914009
618	0.9642857143	0.05611823425
619	0.9642857143	0.05610743729
620	0.9642857143	0.05609658887
621	0.9642857143	0.05608589406
622	0.9642857143	0.05607179014
623	0.9642857143	0.05606105674
624	0.9642857143	0.05605047048
625	0.9642857143	0.05603653442
626	0.9642857143	0.05602591403
627	0.9642857143	0.0560154349
628	0.9642857143	0.05599688118
629	0.9642857143	0.05598640194
630	0.9642857143	0.05597602028
631	0.9642857143	0.05596559226
632	0.9642857143	0.05595521339
633	0.9642857143	0.05594493448
634	0.9642857143	0.05593460859
635	0.9642857143	0.05592442538
636	0.9642857143	0.05591100834
637	0.9642857143	0.05590078929
638	0.9642857143	0.05589070697
639	0.9642857143	0.05587283677
